commit ID,author name,committer name,message,URL,commit date
MDY6Q29tbWl0NDE2NDQ4MjoxMWYwODk5YmJlN2MwNGRjNjEwOWY1N2MzYjM2ZWQ4NjIxYjhmMDhl,Nick Presta,Tim Graham,"Fixed #11776 -- Added CSS class for non-field/top of form errors.

Thanks Daniel Pope for the suggestion.",https://api.github.com/repos/django/django/git/commits/11f0899bbe7c04dc6109f57c3b36ed8621b8f08e,2014-04-15
MDY6Q29tbWl0NDE2NDQ4Mjo5ZmIwZjVkZGRjNGNmN2YyZDI5NGFmMWJjZGUyYzM1OWNmZmQ5MGE1,Marc Tamlyn,Marc Tamlyn,"Fixed #22510 -- Harden field removal to only None.

Refs #8620.

If we allow any value to remove form fields then we get name clashes
with method names, media classes etc. There was a backwards
incompatibility introduced meaning ModelForm subclasses with declared
fields called media or clean would lose those fields.

Field removal is now only permitted by using the sentinel value None.
The docs have been slightly reworded to refer to removal of fields
rather than shadowing.

Thanks to gcbirzan for the report and initial patch, and several of the
core team for opinions.",https://api.github.com/repos/django/django/git/commits/9fb0f5dddc4cf7f2d294af1bcde2c359cffd90a5,2014-05-24
MDY6Q29tbWl0NDE2NDQ4Mjo1ZWI4MWNlNDQ1MzI1OTZlY2MxYzc4MWQ5M2YzNDIxYTQ2N2E2MjA2,Julen Ruiz Aizpuru,Tim Graham,"Fixed #22533 -- Added label_suffix parameter to form fields.

Fields can now receive the `label_suffix` attribute, which will override
a form's `label_suffix`.

This enhances the possibility to customize form's `label_suffix`, allowing
to use such customizations while using shortcuts such as
`{{ form.as_p }}`.

Note that the field's own customization can be overridden at runtime by
using the `label_prefix` parameter to `BoundField.label_tag()`.

Refs #18134.",https://api.github.com/repos/django/django/git/commits/5eb81ce44532596ecc1c781d93f3421a467a6206,2014-04-29
MDY6Q29tbWl0NDE2NDQ4MjphNWRlMGRmNThiNTQzMWIyNWEzMjQ2YTU3NDMyZGI3Mzg0M2JlODdm,Stephen Burrows,Claude Paroz,"Fixed #22502 -- Fixed microseconds/default/form interaction

Made explicit lack of microsecond handling by built-in datetime form
fields. Used that explicitness to appropriately nix microsecond
values in bound fields. Thanks Claude Paroz for the review.",https://api.github.com/repos/django/django/git/commits/a5de0df58b5431b25a3246a57432db73843be87f,2014-05-07
MDY6Q29tbWl0NDE2NDQ4MjpkZjYwZGIwZTc4NzI3OTZiNGE0OGU2MmU5NzMzZjg1YzhkZGY4MzA2,Ben Davis,Tim Graham,Fixed #22570 -- Made Form.__getitem__ KeyError more descriptive.,https://api.github.com/repos/django/django/git/commits/df60db0e7872796b4a48e62e9733f85c8ddf8306,2014-05-03
MDY6Q29tbWl0NDE2NDQ4Mjo3ODYyM2QyNTNiNzU0ZWZmZTYxNjIyZGQzZTQ5YzI2NmE1YTg1ZDVm,Tomasz Wysocki,Tim Graham,Removed casting to bool just before negation.,https://api.github.com/repos/django/django/git/commits/78623d253b754effe61622dd3e49c266a5a85d5f,2014-04-04
MDY6Q29tbWl0NDE2NDQ4Mjo0MTZhODU4MDIzMjA3NWQ1NjljZjNjMzg2YTk3MDY3ODg0YzY3YTYw,Anubhav Joshi,Tim Graham,"Fixed #17922 -- Added required_css_class to form label.

Thanks hanson2010 for the suggestion.",https://api.github.com/repos/django/django/git/commits/416a8580232075d569cf3c386a97067884c67a60,2014-03-03
MDY6Q29tbWl0NDE2NDQ4Mjo3YWM4MzgwNzk5ZWVkYjM3NDYyMTMxN2I2MmNjZjAyNmQ4NmVhMjQ1,Loic Bistuer,Tim Graham,Fixed #22318 -- Added Form.has_error() to easily check if a given error has happened.,https://api.github.com/repos/django/django/git/commits/7ac8380799eedb374621317b62ccf026d86ea245,2014-03-22
MDY6Q29tbWl0NDE2NDQ4MjpkNzRlMzNlYjBlYzI4OWQzMTI1YTVhODA0OGQ3NTZmOWQyMzJiZDYy,Tim Graham,Tim Graham,"Removed backwards compatibility code to call field.widget._has_changed()

This logic should be moved to field._has_changed() as described
in ebb504db692cac496f4f45762d1d14644c9fa6f - refs #16612.",https://api.github.com/repos/django/django/git/commits/d74e33eb0ec289d3125a5a8048d756f9d232bd62,2014-03-21
MDY6Q29tbWl0NDE2NDQ4MjoyMTBkMDQ4OWM1ZGFhZDU2YjgwNmY4MTY1ZjlmZTA5ZmIzYzJhMDE5,Claude Paroz,Claude Paroz,"Fixed #21188 -- Introduced subclasses for to-be-removed-in-django-XX warnings

Thanks Anssi Kääriäinen for the idea and Simon Charette for the
review.",https://api.github.com/repos/django/django/git/commits/210d0489c5daad56b806f8165f9fe09fb3c2a019,2014-02-26
MDY6Q29tbWl0NDE2NDQ4MjowZDkxMjI1ODkyMWE0NDJjNDhkNTc4NzIyOGRiMmRiNWFmN2U4ZmE1,Rodolfo Carvalho,Tim Graham,"Fixed many typos in comments and docstrings.

Thanks Piotr Kasprzyk for help with the patch.",https://api.github.com/repos/django/django/git/commits/0d912258921a442c48d5787228db2db5af7e8fa5,2014-03-02
MDY6Q29tbWl0NDE2NDQ4Mjo4ODQ3YTBjNjAxZTQyNjE4MjNiMTcyNmIyZGI3M2VlYzJhYzE3OTQw,Loic Bistuer,Tim Graham,"Fixed #16192 -- Made unique error messages in ModelForm customizable.

Overriding the error messages now works for both unique fields, unique_together
and unique_for_date.

This patch changed the overriding logic to allow customizing NON_FIELD_ERRORS
since previously only fields' errors were customizable.

Refs #20199.

Thanks leahculver for the suggestion.",https://api.github.com/repos/django/django/git/commits/8847a0c601e4261823b1726b2db73eec2ac17940,2014-02-03
MDY6Q29tbWl0NDE2NDQ4Mjo4MWJiOGQxMjIwOWE0MTkxNDJiMWJmNjk2MWZiZjlmYzQ0NDE5ZGNk,Marc Sibson,Tim Graham,Fixed docstring typo in django/forms/forms.py.,https://api.github.com/repos/django/django/git/commits/81bb8d12209a419142b1bf6961fbf9fc44419dcd,2014-01-10
MDY6Q29tbWl0NDE2NDQ4MjozY2U5ODI5YjYxNTMzNmIwZjNhYzM5YjA4MGMyN2ZjOGNmNWFmNDgz,Loic Bistuer,Tim Graham,Fixed #17413 -- Serialization of form errors along with all metadata.,https://api.github.com/repos/django/django/git/commits/3ce9829b615336b0f3ac39b080c27fc8cf5af483,2013-11-29
MDY6Q29tbWl0NDE2NDQ4MjpmNTYzYzMzOWNhMmVlZDgxNzA2YWIxNzcyNmM3OWE2ZjAwZDdjNTUz,Loic Bistuer,Loic Bistuer,"Fixed #20867 -- Added the Form.add_error() method.

Refs #20199 #16986.

Thanks @akaariai, @bmispelon, @mjtamlyn, @timgraham for the reviews.",https://api.github.com/repos/django/django/git/commits/f563c339ca2eed81706ab17726c79a6f00d7c553,2013-11-11
MDY6Q29tbWl0NDE2NDQ4MjpjYmM3Y2JiYzViNWVmMDMwNTlkODg3NjA3NDU2MDYzNWYyZjY0N2I3,Milton Mazzarri,Milton Mazzarri,Fixed flake8 E251 violations,https://api.github.com/repos/django/django/git/commits/cbc7cbbc5b5ef03059d8876074560635f2f647b7,2013-11-03
MDY6Q29tbWl0NDE2NDQ4Mjo3NTQ4YWE4ZmZkNDZlYjZlMGY3MzczMGQxYjJlYjUxNWJhNTgxZjk1,Alex Gaynor,Alex Gaynor,More attacking E302 violators,https://api.github.com/repos/django/django/git/commits/7548aa8ffd46eb6e0f73730d1b2eb515ba581f95,2013-11-02
MDY6Q29tbWl0NDE2NDQ4MjpkY2ZjOGZhOTcyMTk1NWRjNGZjZmI2ZTVlNTA2YmUxMmY3NGM1Yjg1,Ray Ashman Jr,Ray Ashman Jr,Correct flake8 violation E261,https://api.github.com/repos/django/django/git/commits/dcfc8fa9721955dc4fcfb6e5e506be12f74c5b85,2013-11-02
MDY6Q29tbWl0NDE2NDQ4MjpmMmQ4MDI3YzlhZWE5Mzc1MGZjNDIxM2Q5ZTczM2M4NTc1ZTg5NTAy,Alex Gaynor,Alex Gaynor,Fixed up some more flake8 violations (this particular violation still has many occurrences in the tests/ dir so it can't be removed from setup.cfg yet),https://api.github.com/repos/django/django/git/commits/f2d8027c9aea93750fc4213d9e733c8575e89502,2013-10-26
MDY6Q29tbWl0NDE2NDQ4MjpiMTZkZDFmZTAxOWIzOGQwZGNkZjRhNDAwZTkzNzdmYjA2YjMzMTc4,Loic Bistuer,Loic Bistuer,Fixed #8620 -- Updated the Form metaclass to support excluding fields by shadowing them.,https://api.github.com/repos/django/django/git/commits/b16dd1fe019b38d0dcdf4a400e9377fb06b33178,2013-10-14
MDY6Q29tbWl0NDE2NDQ4MjphYzVlYzdiOGJjYzU2MjNjYzA1ZDRkZjkwMGMzOWUxOTRmNWFmZmNm,Loic Bistuer,Loic Bistuer,"Fixed #19617 -- Refactored Form metaclasses to support more inheritance scenarios.

Thanks apollo13, funkybob and mjtamlyn for the reviews.",https://api.github.com/repos/django/django/git/commits/ac5ec7b8bcc5623cc05d4df900c39e194f5affcf,2013-07-20
MDY6Q29tbWl0NDE2NDQ4Mjo1Njc0M2NmOWUzMzc4MjZlNGM2MTU5MDk1NzBiYjA1NzE0MmE2YTdi,Florian Apolloner,Florian Apolloner,"Ensured that BoundField.as_widget always returns properly localized fields.

This is a follow-up to #18777 which improperly converted to strings in
prepare_value and as such caused regressions like #21074.

Refs #18777, #21074",https://api.github.com/repos/django/django/git/commits/56743cf9e337826e4c615909570bb057142a6a7b,2013-09-21
MDY6Q29tbWl0NDE2NDQ4MjoxOGZmZGIxNzcyYmE2MGUwODVjZmY4ZmQ5YTFkNGE3YjEyOWI0MDMy,Tim Graham,Tim Graham,"Fixed #17627 -- Renamed util.py files to utils.py

Thanks PaulM for the suggestion and Luke Granger-Brown and
Wiktor Kołodziej for the initial patch.",https://api.github.com/repos/django/django/git/commits/18ffdb1772ba60e085cff8fd9a1d4a7b129b4032,2013-09-16
MDY6Q29tbWl0NDE2NDQ4MjowNTNkZTYxMzFhZjgzYzYzZWMxN2QzODU3ODg4OWM3MWRlOTEzZDI0,e0ne,Tim Graham,"Fixed #5749 -- Added field_name as a key in the _html_output dict

Thanks SmileyChris for the suggestion.",https://api.github.com/repos/django/django/git/commits/053de6131af83c63ec17d38578889c71de913d24,2013-09-10
MDY6Q29tbWl0NDE2NDQ4Mjo4Y2Q4NzQyOTgxMDIwZTMxNWFjYzRlNzBiZGYzNjEzZmNmNjhlM2E4,Claude Paroz,Claude Paroz,Moved translator comment just above the target string,https://api.github.com/repos/django/django/git/commits/8cd8742981020e315acc4e70bdf3613fcf68e3a8,2013-08-22
MDY6Q29tbWl0NDE2NDQ4Mjo5MDdlZjlkMGQxNTdjNDdjNjZiZjI2NWRjYTkzYTBiZWU4NjY0ZWEz,Matt Johnson,Tim Graham,"Fixed #20555 -- Make subwidget id attribute available

In `BoundField.__iter__`, the widget's id attribute is now passed to
each subwidget. A new id_for_label property was added to ChoiceInput.",https://api.github.com/repos/django/django/git/commits/907ef9d0d157c47c66bf265dca93a0bee8664ea3,2013-06-04
